country,gdp_pps_2023,gdp_pps_2025,gdp_pps_change
Ireland,82972.1,93359.9,10387.799999999988
Denmark,48240.3,53940.8,5700.5
Netherlands,50216.4,55152.1,4935.699999999997
Luxembourg,95129.1,99621.3,4492.199999999997
Poland,29519.6,33816.5,4296.9000000000015
Malta,41830.7,45952.5,4121.800000000003
Bulgaria,24254.4,28332.0,4077.5999999999985
Sweden,42508.5,46343.6,3835.0999999999985
Romania,28715.8,32353.1,3637.2999999999993
Czechia,34973.9,38557.0,3583.0999999999985
Cyprus,37400.0,40957.0,3557.0
Spain,34768.5,38135.7,3367.199999999997
Lithuania,32931.3,36174.4,3243.0999999999985
Germany,45519.2,48621.8,3102.600000000006
Slovenia,35110.5,38052.2,2941.699999999997
Estonia,30454.9,33279.1,2824.199999999997
Latvia,26755.5,29518.5,2763.0
Hungary,28968.6,31719.3,2750.7000000000007
Portugal,31107.5,33825.0,2717.5
France,38055.1,40716.0,2660.9000000000015
Slovakia,28487.6,31138.8,2651.2000000000007
Austria,46391.9,49029.2,2637.2999999999956
Croatia,29847.3,32370.2,2522.9000000000015
Finland,39690.3,42070.4,2380.0999999999985
Belgium,45367.3,47676.3,2309.0
Italy,37697.0,39949.2,2252.199999999997
Greece,26263.1,28469.9,2206.800000000003
