country,ai_2023,ai_2025,ai_change_pp
Denmark,15.17,42.03,26.86
Sweden,10.37,35.04,24.67
Finland,15.1,37.82,22.72
Belgium,13.81,34.54,20.73
Austria,10.79,29.95,19.16
Luxembourg,14.45,33.61,19.16
Netherlands,14.1,33.21,19.11
Estonia,5.19,23.4,18.21
Lithuania,4.86,21.3,16.44
Germany,11.55,25.97,14.419999999999998
France,5.88,18.16,12.28
Czechia,5.9,17.6,11.7
Ireland,8.01,19.64,11.63
Italy,5.05,16.4,11.349999999999998
Spain,9.18,20.27,11.09
Slovakia,7.04,18.0,10.96
Slovenia,11.37,21.61,10.24
Malta,13.17,21.51,8.340000000000002
Latvia,4.53,12.21,7.680000000000001
Croatia,7.89,15.19,7.3
Hungary,3.68,10.37,6.69
Greece,3.98,8.93,4.949999999999999
Bulgaria,3.62,8.55,4.930000000000001
Poland,3.67,8.36,4.69
Cyprus,4.67,9.27,4.6
Romania,1.51,5.21,3.7
Portugal,7.86,11.54,3.679999999999999
