country,cloud_2023,cloud_2025,cloud_change_pp
Lithuania,38.39,58.06,19.67
Italy,61.39,75.6,14.209999999999994
France,26.76,40.41,13.649999999999997
Spain,30.04,41.65,11.61
Luxembourg,37.04,47.7,10.660000000000004
Ireland,63.1,73.04,9.940000000000005
Belgium,51.69,61.62,9.93
Malta,66.74,75.07,8.329999999999998
Latvia,35.76,44.08,8.32
Slovenia,40.21,48.04,7.829999999999998
Czechia,47.15,54.9,7.75
Germany,47.0,53.91,6.909999999999997
Romania,18.4,24.94,6.540000000000003
Austria,46.48,52.08,5.600000000000001
Netherlands,64.19,68.49,4.299999999999997
Hungary,44.94,47.96,3.020000000000003
Estonia,58.57,60.66,2.0899999999999963
Slovakia,34.42,36.44,2.019999999999996
Croatia,45.08,46.61,1.5300000000000011
Portugal,37.5,38.71,1.2100000000000009
Finland,78.29,79.21,0.9199999999999876
Greece,23.59,24.33,0.7399999999999984
Sweden,71.62,72.0,0.3799999999999954
Bulgaria,17.5,17.83,0.3299999999999983
Denmark,69.48,68.88,-0.6000000000000085
Poland,55.67,54.71,-0.9600000000000009
Cyprus,52.93,51.38,-1.5499999999999972
