country,ict_specialists_2023,ict_specialists_2025,ict_specialists_change_pp
Portugal,4.6,5.4,0.8000000000000007
Lithuania,4.9,5.7,0.7999999999999998
Slovenia,3.8,4.5,0.7000000000000002
Luxembourg,8.0,8.7,0.6999999999999993
Croatia,4.3,4.9,0.6000000000000005
Germany,4.9,5.5,0.5999999999999996
Belgium,5.4,5.9,0.5
Bulgaria,4.3,4.8,0.5
Czechia,4.3,4.7,0.4000000000000003
Spain,4.4,4.8,0.3999999999999994
Hungary,4.2,4.6,0.3999999999999994
Netherlands,6.9,7.2,0.2999999999999998
Sweden,8.7,8.9,0.200000000000001
Slovakia,4.2,4.4,0.2000000000000001
Poland,4.3,4.5,0.2000000000000001
Finland,7.6,7.8,0.2000000000000001
France,4.7,4.9,0.2000000000000001
Austria,5.3,5.4,0.1000000000000005
Greece,2.4,2.5,0.1
Romania,2.6,2.7,0.1
Malta,4.7,4.8,0.0999999999999996
Estonia,6.7,6.8,0.0999999999999996
Latvia,4.4,4.5,0.0999999999999996
Ireland,6.2,6.2,0.0
Denmark,5.9,5.7,-0.2000000000000001
Italy,4.1,3.8,-0.2999999999999998
Cyprus,5.6,4.9,-0.6999999999999993
