country_code,country,ai_2023,ai_2025,ai_change_pp,ai_flag_2023,ai_flag_2025
AT,Austria,10.79,29.95,19.16,,
BE,Belgium,13.81,34.54,20.729999999999997,,
BG,Bulgaria,3.62,8.55,4.930000000000001,,
CY,Cyprus,4.67,9.27,4.6,,
CZ,Czechia,5.9,17.6,11.700000000000001,,
DE,Germany,11.55,25.97,14.419999999999998,,
DK,Denmark,15.17,42.03,26.86,,
EE,Estonia,5.19,23.4,18.209999999999997,,
EL,Greece,3.98,8.93,4.949999999999999,,
ES,Spain,9.18,20.27,11.09,,
FI,Finland,15.1,37.82,22.72,,
FR,France,5.88,18.16,12.280000000000001,b,
HR,Croatia,7.89,15.19,7.3,,
HU,Hungary,3.68,10.37,6.6899999999999995,,
IE,Ireland,8.01,19.64,11.63,,
IT,Italy,5.05,16.4,11.349999999999998,,
LT,Lithuania,4.86,21.3,16.44,,
LU,Luxembourg,14.45,33.61,19.16,,
LV,Latvia,4.53,12.21,7.680000000000001,,
MT,Malta,13.17,21.51,8.340000000000002,,
NL,Netherlands,14.1,33.21,19.11,,b
PL,Poland,3.67,8.36,4.6899999999999995,,
PT,Portugal,7.86,11.54,3.679999999999999,,
RO,Romania,1.51,5.21,3.7,,
SE,Sweden,10.37,35.04,24.67,b,
SI,Slovenia,11.37,21.61,10.24,,
SK,Slovakia,7.04,18.0,10.96,,
