country_code,country,cloud_2023,cloud_2025,cloud_change_pp,cloud_flag_2023,cloud_flag_2025
AT,Austria,46.48,52.08,5.600000000000001,,
BE,Belgium,51.69,61.62,9.93,,
BG,Bulgaria,17.5,17.83,0.3299999999999983,,
CY,Cyprus,52.93,51.38,-1.5499999999999972,,
CZ,Czechia,47.15,54.9,7.75,,
DE,Germany,47.0,53.91,6.909999999999997,,
DK,Denmark,69.48,68.88,-0.6000000000000085,,
EE,Estonia,58.57,60.66,2.0899999999999963,,
EL,Greece,23.59,24.33,0.7399999999999984,,
ES,Spain,30.04,41.65,11.61,,
FI,Finland,78.29,79.21,0.9199999999999875,,
FR,France,26.76,40.41,13.649999999999995,b,
HR,Croatia,45.08,46.61,1.5300000000000011,,
HU,Hungary,44.94,47.96,3.020000000000003,,
IE,Ireland,63.1,73.04,9.940000000000005,,
IT,Italy,61.39,75.6,14.209999999999994,,
LT,Lithuania,38.39,58.06,19.67,,
LU,Luxembourg,37.04,47.7,10.660000000000004,,
LV,Latvia,35.76,44.08,8.32,,
MT,Malta,66.74,75.07,8.329999999999998,,
NL,Netherlands,64.19,68.49,4.299999999999997,,
PL,Poland,55.67,54.71,-0.9600000000000009,,
PT,Portugal,37.5,38.71,1.2100000000000009,,
RO,Romania,18.4,24.94,6.540000000000003,,
SE,Sweden,71.62,72.0,0.37999999999999545,b,
SI,Slovenia,40.21,48.04,7.829999999999998,,
SK,Slovakia,34.42,36.44,2.019999999999996,,
