country_code,country,gdp_pps_2023,gdp_pps_2025,gdp_pps_change_pp,gdp_pps_flag_2023,gdp_pps_flag_2025
AT,Austria,46391.9,49029.2,2637.2999999999956,,
BE,Belgium,45367.3,47676.3,2309.0,,p
BG,Bulgaria,24254.4,28332.0,4077.5999999999985,,p
CY,Cyprus,37400.0,40957.0,3557.0,,p
CZ,Czechia,34973.9,38557.0,3583.0999999999985,,
DE,Germany,45519.2,48621.8,3102.600000000006,p,p
DK,Denmark,48240.3,53940.8,5700.5,,
EE,Estonia,30454.9,33279.1,2824.199999999997,,
EL,Greece,26263.1,28469.9,2206.800000000003,p,p
ES,Spain,34768.5,38135.7,3367.199999999997,p,p
FI,Finland,39690.3,42070.4,2380.0999999999985,,
FR,France,38055.1,40716.0,2660.9000000000015,,p
HR,Croatia,29847.3,32370.2,2522.9000000000015,,p
HU,Hungary,28968.6,31719.3,2750.7000000000007,,p
IE,Ireland,82972.1,93359.9,10387.799999999988,,
IT,Italy,37697.0,39949.2,2252.199999999997,,e
LT,Lithuania,32931.3,36174.4,3243.0999999999985,,
LU,Luxembourg,95129.1,99621.3,4492.199999999997,,p
LV,Latvia,26755.5,29518.5,2763.0,,
MT,Malta,41830.7,45952.5,4121.800000000003,,
NL,Netherlands,50216.4,55152.1,4935.699999999997,,p
PL,Poland,29519.6,33816.5,4296.9000000000015,,p
PT,Portugal,31107.5,33825.0,2717.5,,p
RO,Romania,28715.8,32353.1,3637.2999999999993,,p
SE,Sweden,42508.5,46343.6,3835.0999999999985,,
SI,Slovenia,35110.5,38052.2,2941.699999999997,,
SK,Slovakia,28487.6,31138.8,2651.2000000000007,,
