country_code,country,ict_specialists_2023,ict_specialists_2025,ict_specialists_change_pp,ict_specialists_flag_2023,ict_specialists_flag_2025
AT,Austria,5.3,5.4,0.10000000000000053,,
BE,Belgium,5.4,5.9,0.5,,
BG,Bulgaria,4.3,4.8,0.5,,
CY,Cyprus,5.6,4.9,-0.6999999999999993,e,
CZ,Czechia,4.3,4.7,0.40000000000000036,,
DE,Germany,4.9,5.5,0.5999999999999996,,
DK,Denmark,5.9,5.7,-0.20000000000000018,b,
EE,Estonia,6.7,6.8,0.09999999999999964,e,e
EL,Greece,2.4,2.5,0.10000000000000009,,
ES,Spain,4.4,4.8,0.39999999999999947,d,d
FI,Finland,7.6,7.8,0.20000000000000018,,
FR,France,4.7,4.9,0.20000000000000018,d,d
HR,Croatia,4.3,4.9,0.6000000000000005,e,e
HU,Hungary,4.2,4.6,0.39999999999999947,e,e
IE,Ireland,6.2,6.2,0.0,e,e
IT,Italy,4.1,3.8,-0.2999999999999998,e,e
LT,Lithuania,4.9,5.7,0.7999999999999998,e,
LU,Luxembourg,8.0,8.7,0.6999999999999993,,
LV,Latvia,4.4,4.5,0.09999999999999964,,
MT,Malta,4.7,4.8,0.09999999999999964,,
NL,Netherlands,6.9,7.2,0.2999999999999998,,
PL,Poland,4.3,4.5,0.20000000000000018,,
PT,Portugal,4.6,5.4,0.8000000000000007,,
RO,Romania,2.6,2.7,0.10000000000000009,,e
SE,Sweden,8.7,8.9,0.20000000000000107,e,
SI,Slovenia,3.8,4.5,0.7000000000000002,,
SK,Slovakia,4.2,4.4,0.20000000000000018,,e
