freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2021 	2023 	2024 	2025 
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES	: 	5.74 	5.66 	5.49 
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,PT	: 	13.36 	: 	: 
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES	: 	6.88 	6.94 	6.97 
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,PT	: 	15.23 	: 	: 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES	: 	1.40 	1.44 	1.95 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,PT	: 	5.04 	: 	: 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,ES	: 	1.68 	1.76 	2.47 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,PT	: 	5.74 	: 	: 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,ES	: 	3.78 	4.39 	3.53 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,PT	: 	9.38 	: 	: 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ES	: 	4.53 	5.39 	4.49 
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,PT	: 	10.69 	: 	: 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,ES	0.39 	0.48 	0.36 	0.72 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,PT	0.55 	0.35 	0.45 	: 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,ES	11.53 	10.63 	6.30 	7.12 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,PT	14.89 	14.36 	11.21 	: 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,ES	0.48 	0.57 	0.44 	0.91 
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,PT	0.65 	0.40 	0.52 	: 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,ES	0.83 	0.80 	0.73 	0.94 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,PT	1.26 	1.04 	1.09 	: 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,ES	24.23 	17.66 	12.78 	9.31 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,PT	34.39 	42.88 	27.16 	: 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,ES	1.02 	0.96 	0.90 	1.19 
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,PT	1.49 	1.18 	1.26 	: 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,ES	0.25 	0.40 	0.52 	0.75 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,PT	0.47 	0.43 	0.45 	: 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT_AI_TANY,ES	7.17 	8.79 	9.04 	7.40 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT_AI_TANY,PT	12.71 	17.80 	11.21 	: 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT_IUSE,ES	0.30 	0.48 	0.63 	0.95 
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT_IUSE,PT	0.55 	0.49 	0.52 	: 
