freq,ind_type,indic_is,unit,geo\TIME_PERIOD	2021 	2023 	2025 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,AT	42.73 	37.81 	35.36 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,BE	35.50 	34.31 	37.94 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,BG	: u	24.99 u	: u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,CY	7.34 	16.67 	10.44 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,CZ	30.24 	36.13 	36.16 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,DE	14.55 	11.41 	12.96 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,DK	42.89 	36.01 	51.70 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,EA	25.46 	26.70 	28.10 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,EE	21.88 u	29.96 u	28.99 u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,EL	20.66 	19.77 	21.04 u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,ES	32.81 	39.98 	36.28 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,EU27_2020	26.17 	27.62 	29.26 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,FI	60.38 	49.09 	51.62 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,FR	22.84 	24.70 	36.99 u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,HR	: u	19.03 u	31.34 u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,HU	33.37 	36.01 	36.01 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,IE	32.98 	50.23 	: 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,IT	15.10 	14.05 	18.31 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,LT	38.76 u	28.36 u	33.64 u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,LU	33.91 	28.16 	29.79 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,LV	19.52 	7.75 	13.47 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,MT	61.53 u	40.45 	59.45 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,NL	50.93 	56.08 	58.40 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,PL	: u	: u	: u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,PT	28.62 	48.68 	51.28 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,RO	: u	: u	: u
A,CB_EU_FOR,I_DSK2_AB,PC_IND,SE	32.45 	37.65 	33.04 
A,CB_EU_FOR,I_DSK2_AB,PC_IND,SI	19.07 u	9.84 	15.52 
