freq,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,PC_EMP,AT	2.9 be	3.1 be	3.3 e	3.3 be	3.3 e	3.5 e	3.5 e	3.6 b	3.6 	3.7 	3.6 	4.0 	4.2 	4.4 	4.5 	4.3 	4.5 	4.5 b	5.0 	5.3 	5.3 	5.4 
A,PC_EMP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 be	1.6 e	2.0 e	2.3 e	2.1 e
A,PC_EMP,BE	3.4 e	3.5 be	3.7 e	4.1 e	3.9 e	4.1 e	4.4 e	4.0 be	4.3 	4.2 	4.2 	4.2 	4.2 	4.9 b	5.2 	5.0 	5.0 	5.6 b	5.6 	5.4 	5.7 	5.9 
A,PC_EMP,BG	2.2 e	2.2 be	2.4 e	2.4 e	2.4 be	2.4 e	2.5 be	2.2 be	2.5 e	2.5 e	2.5 e	2.9 e	3.0 e	3.1 e	3.3 e	3.0 b	3.3 	3.5 b	3.8 	4.3 	4.6 b	4.8 
A,PC_EMP,CH	: 	: 	: 	: 	: 	: 	: 	4.3 b	4.7 	4.8 	4.8 	4.8 	5.0 	4.8 	5.0 	5.5 	5.4 	5.5 b	5.7 	5.7 	5.7 	5.9 
A,PC_EMP,CY	2.2 e	2.3 be	2.3 e	2.6 e	2.6 e	2.4 be	2.5 e	2.5 be	2.6 e	2.8 e	2.8 e	2.7 	2.7 	2.9 	3.2 	2.7 	3.2 	3.9 b	4.4 	5.6 e	5.0 e	4.9 
A,PC_EMP,CZ	3.4 e	3.7 be	3.9 e	4.3 e	4.6 e	4.6 e	4.6 be	3.5 b	3.4 	3.7 	3.7 	3.5 	3.7 	3.6 	4.0 	4.0 	4.2 	4.6 b	4.5 	4.3 	4.5 	4.7 
A,PC_EMP,DE	3.3 e	3.6 be	3.6 be	3.6 e	3.6 e	3.7 e	3.9 be	3.1 be	3.5 b	3.5 	3.6 	3.7 	3.7 	3.8 	3.9 	4.0 	4.7 b	4.9 b	5.0 	4.9 	5.1 	5.5 
A,PC_EMP,DK	4.3 e	4.1 be	4.5 e	4.5 e	4.8 be	4.7 e	4.8 e	4.3 be	4.7 e	4.8 e	4.6 e	4.5 e	4.9 be	5.0 be	5.0 e	5.1 e	5.3 e	5.6 b	5.7 	5.9 b	5.8 	5.7 
A,PC_EMP,EE	3.2 e	2.5 be	2.9 e	3.4 e	3.7 e	3.8 e	4.1 e	3.4 b	3.8 	4.1 	3.9 	4.2 	5.1 e	5.3 	5.4 	5.8 	6.2 e	6.2 b	6.6 	6.7 e	7.2 e	6.8 e
